"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"ALA",2019,2361.28957615001595261,720130.385645364394082
"ALB",2019,1074.14461078847734700,428070.7990669685908877
"AND",2019,8.039982792960068666,3397.294414455713266
"ARG",2019,145444.270784678578592962,41029721.2301134190272159
"ARM",2019,0.706427593621961845,240.802124444981162
"ATG",2019,23.41031010710397394,7123.29339654033207
"AUS",2019,1661547.603387162071683072,343697238.5006983376590475
"AUT",2019,33642.430795611881145188,18581208.313825080434444
"AZE",2019,11.94976342916666721,3953.617970536101566
"BDI",2019,2386.32992826454025922,1270637.431921383407972
"BEL",2019,5577.118212720529750632,3116499.2670434000431186
"BEN",2019,774.98567447602668742,338483.961962483113996
"BES",2019,1.5425652265896273,579.4060359753112
"BFA",2019,0.0,980.474131199432739
"BGD",2019,22078.75978651089990800,12024135.693985119524346
"BGR",2019,4125.248047772259021121,1998252.8393967375780613
"BHS",2019,1557.77356329313708805,563432.093476223983402
"BIH",2019,1232.210397055444757644,710025.831208264962442
"BLR",2019,75048.525080740713209960,29047399.2134569142210221
"BLZ",2019,18372.63610051852666428,8912407.510102394659418
"BOL",2019,852089.86850281429347202,347429456.085568463653822
"BRA",2019,2696748.79925482847989378,1610956854.650230096467305
"BRB",2019,53.66338849330902259,22805.214372587940395
"BRN",2019,1168.53427288212445368,649487.633841767831113
"BTN",2019,819.58523543944340686,427446.164830542664209
"BWA",2019,0.07219066732530383,17.664150606533784
"CAF",2019,49026.38682283116369105,23793464.113298821100532
"CAN",2019,2175715.827192220084306211,882285325.1734628765916984
"CHE",2019,3518.709265741344646464,1942071.751858494029179
"CHL",2019,78735.468303674363813414,40850606.6249868134683578
"CHN",2019,496972.435398614556389209,230758984.1894302957787492
"CIV",2019,242171.27924668201125130,138646300.323951245637410
"CMR",2019,121800.96870431767481935,73598926.053139530074034
"COD",2019,1220177.45279688570271243,807643986.860097190331861
"COG",2019,73758.07856393686217664,45762674.217941239283268
"COL",2019,268409.88136648941247966,154413448.219497454993501
"COM",2019,280.49728503887212850,147144.905062730541698
"CPV",2019,0.0743353829654948,0.0
"CRI",2019,11485.67712617347253807,6650697.417840024768572
"CUB",2019,7463.60839057388975003,3026850.9444439664065644
"CUW",2019,2.1818032075661892,732.28643581786003
"CYM",2019,10.76036729791232717,8738.822948512127827
"CYP",2019,43.45628981809461728,13138.219106161681301
"CZE",2019,73295.199263944381182494,40239446.1692330148961755
"DEU",2019,108232.510807146964480576,62122468.9936976309238729
"DMA",2019,58.70914486738767794,37480.048443231844018
"DNK",2019,9180.333627167243765220,3348309.1774915780272440
"DOM",2019,14930.83818608190728644,7094587.503574849014132
"DZA",2019,6291.288201750727973264,1779280.8949409837549376
"ECU",2019,35645.82687116909158053,24964583.827325301511678
"EGY",2019,20.90405680939561257,5475.00532207658718
"ESP",2019,71021.864828331216122736,32147401.3630338967975824
"EST",2019,45916.924331137920804126,14947143.388346840017253
"ETH",2019,25582.39838615165628227,13447285.0784238820161081
"FIN",2019,289910.398975830985011549,66372182.4612184280948627
"FJI",2019,1455.84047928457340407,839359.294954045716352
"FRA",2019,81304.168635151589692648,43615011.9362058646253160
"GAB",2019,28561.01882431761914721,18684439.104685699766822
"GBR",2019,28376.643735602785896279,13309290.6679289335693295
"GEO",2019,166.186343996532163784,81027.370887134529756
"GGY",2019,0.15041056255208334,55.658631903963118
"GHA",2019,88256.57865966983452658,53871287.033063491767143
"GIN",2019,193690.00896904252659566,87003586.583826456791395
"GLP",2019,70.26019322572591968,30217.198552038587216
"GMB",2019,20.08557126249131542,6233.806479280561564
"GNB",2019,15622.80368788655176137,6793619.520989384505851
"GNQ",2019,9526.17188510540599319,6374109.511006829335994
"GRC",2019,7604.301812483621472015,2034115.8019354075552458
"GRD",2019,21.06297714314399111,11122.125691788998264
"GTM",2019,90198.05534363470152495,46608686.656574334005819
"GUF",2019,3297.92582579197857549,2562703.212520465005012
"GUY",2019,22324.42422152986732990,14257426.492806171897798
"HKG",2019,24.57831573578667928,6616.775745234291835
"HND",2019,81416.23140407905403002,41986580.625804576047157
"HRV",2019,5977.626809427684694415,3087155.765635174804628
"HTI",2019,4395.44081062647214661,2007157.698863879847562
"HUN",2019,14397.954788962694489509,5960726.797918394544524
"IDN",2019,1176884.14370229588690171,736001170.840423627983496
"IMN",2019,19.705008512556429654,7546.389557842520935
"IND",2019,121154.43715050534177546,63735440.4444200292164895
"IRL",2019,10370.413528595188343423,5097100.1777101865355420
"IRN",2019,144.05646496422301256,32464.512280756955570
"IRQ",2019,0.06209721399739584,23.572506459474212
"ISR",2019,54.35792290111431582,16960.863702074324978
"ITA",2019,59704.920326104398317685,25182707.5252810552237837
"JAM",2019,2292.15580609812732867,1231391.655861860263178
"JOR",2019,0.58736446819769972,111.170411248142944
"JPN",2019,51380.583208418541077985,24772186.844806837875147
"KAZ",2019,1281.725583989125671550,471168.5674409690940808
"KEN",2019,15950.24492483327719513,7269842.191693747619866
"KGZ",2019,15.726766427530378,2780.29816392716562
"KHM",2019,143306.85199863487889046,81009017.150729985481432
"KNA",2019,8.90336391154730845,4532.436538972220585
"KOR",2019,20731.59931813969810643,6937397.126560648443102
"LAO",2019,364709.54832777073909163,181923425.134915666144489
"LBN",2019,389.80778729658760918,121604.1877018106398665
"LBR",2019,171765.15983122187084944,104179950.356760375478764
"LBY",2019,2.14434264185112865,425.268435571448975
"LCA",2019,21.89532865355577421,12238.488413407505611
"LIE",2019,11.54441022252821165,6537.541749000251307
"LKA",2019,10306.91387645886853324,4090666.560662923414887
"LSO",2019,10.20990833923719765,3376.647071718061682
"LTU",2019,24565.247559067876377849,9075374.3666515178602455
"LUX",2019,509.19765510358718335,312107.380903549621769
"LVA",2019,57402.970537609922254775,20558464.6750873774899175
"MAC",2019,2.7131347666655819,0.0
"MAF",2019,0.51260368655056424,151.638180279592805
"MAR",2019,1250.01748588565032120,403459.0757541275047180
"MDA",2019,817.211322303038325119,292043.6475476432707274
"MDG",2019,254242.73728300401901574,126235127.916098420584387
"MEX",2019,327437.78332858554373272,154814608.6747013295875159
"MKD",2019,1790.239030111278685560,847160.5491224593880437
"MLI",2019,210.75723679909059683,68223.844741845710445
"MMR",2019,309418.16111946030040528,166613534.119643139931207
"MNE",2019,647.006566575301713806,367580.725852207133236
"MNG",2019,2815.422969558709650165,871186.5569600668908322
"MOZ",2019,235658.05191430810693214,88426677.753929179980796
"MRT",2019,0.0,95.265973112044948
"MSR",2019,4.64687765316948795,2461.63463760381165
"MTQ",2019,60.54677782825303736,27993.273571911808525
"MWI",2019,12134.42215400113562627,5191419.056815673075638
"MYS",2019,395367.21820921602748075,197283942.423217686236247
"MYT",2019,34.90639031589898018,17594.827585759803825
"NAM",2019,1.89353125198025165,331.510225027945156
"NCL",2019,811.97016784848397690,400682.550066010376043
"NGA",2019,86894.81903568225337899,48233772.258314799809964
"NIC",2019,77848.28348226372437022,44903159.953985041070389
"NLD",2019,2481.328237499820158003,1187250.033352293096166
"NOR",2019,64784.055954906260309074,18424853.0443588550973915
"NPL",2019,2087.02899610763940275,1160100.945056464586986
"NZL",2019,71430.703737614985175797,52090069.5012020226307099
"PAK",2019,81.24308458574654570,30894.9398809580363556
"PAN",2019,33993.58827529984022409,19704615.891941378883952
"PER",2019,231257.38131942311977859,149793884.2241281228170365
"PHL",2019,64038.61496134907748556,36980866.996866179777521
"PLW",2019,8.69836226629638586,6697.54869011898109
"PNG",2019,95134.67482187433831680,73886705.897565151040523
"POL",2019,76720.941287772017518922,33015715.239218881783152
"PRI",2019,695.02114087957025412,326116.331117423195791
"PRK",2019,27492.240717808176290945,6600648.7954017091384665
"PRT",2019,36885.772504226773263792,13464842.6039844524247957
"PRY",2019,314372.68806807469676396,97682933.9462147534290285
"PSE",2019,0.2624685463943142,95.65179888579192
"ROU",2019,12265.85886491166133979,6618107.4232597284297065
"RUS",2019,3686557.041390714243364284,590162327.5218469846912335
"RWA",2019,2515.98611218969651675,2176301.221223653543226
"SDN",2019,56.3958682404302330,17360.36702512865471
"SEN",2019,277.64000257541959322,78032.941168453266270
"SGP",2019,287.87384980758597123,138216.438758707536600
"SLB",2019,16550.44464826874134747,12968438.948131868842867
"SLE",2019,175466.68831213129318657,89411077.416146231297562
"SLV",2019,2249.00911270467417956,1114331.684002180264673
"SMR",2019,0.501878941686198,141.49351059405473
"SOM",2019,374.13892427585121497,80838.530847989325424
"SPM",2019,0.31842018773871533,0.0
"SRB",2019,3962.211902648626828471,2046669.0594635973672978
"SSD",2019,3753.59209408608502947,1612135.386331903227848
"SUR",2019,18454.18881899935991255,14376008.345074127932161
"SVK",2019,10330.871943857926688151,6109307.160231565143538
"SVN",2019,3456.212071673537985027,2011339.435482497281307
"SWE",2019,332890.887169567842474575,92958266.4522375602598492
"SWZ",2019,4116.90602633411738810,2411624.144738332886404
"SYC",2019,0.83514471505642377,773.17634144549232
"SYR",2019,1176.52027477614252271,314400.546920390601519
"TCA",2019,17.24336371313584899,5921.031377965398578
"TCD",2019,5058.9267387286372047,1467366.135652872120766
"TGO",2019,5230.01587678214120616,3051111.411138206177852
"THA",2019,129794.03169619886732073,81411761.726021242659123
"TJK",2019,0.059565943791232645,24.44788437123789
"TLS",2019,1501.46983487714225609,756109.444087261992804
"TTO",2019,658.35834211459079514,393971.189062183020782
"TUN",2019,572.773010072309173275,165444.3023878410374647
"TUR",2019,39117.938770148531272646,13649959.9482096003550364
"TWN",2019,1426.27423970394506095,837800.1278302502717052
"TZA",2019,142772.99245303322168734,51226240.388126770777679
"UGA",2019,63267.76410667069180527,29477447.892576954910226
"UKR",2019,45143.775815634349637570,19073428.7360907882746975
"URY",2019,14519.35391760476664040,10327928.848780083569779
"USA",2019,2109918.282628911906921536,905516262.96707325421553471
"UZB",2019,17.63890151589843524,6191.5343350566837977
"VCT",2019,11.61693048892794993,7257.50218777234711
"VEN",2019,140807.22017685042306649,71911361.441122706142638
"VGB",2019,0.87699208941080739,350.359446204479434
"VIR",2019,19.58205995306640988,7756.577328598672737
"VNM",2019,216779.39610146037551927,168022644.355366853597436
"VUT",2019,251.57034171083495047,145252.981010410584378
"XAD",2019,0.69931208589626744,204.16932614549729
"XKO",2019,697.399454282525824636,390028.777767112602650
"XNC",2019,12.5637078013867188,4361.292798885459609
"ZAF",2019,76139.76106722650722965,46532070.7356520063990095
"ZMB",2019,124640.78101884055774016,45591699.664573288800306
"ZWE",2019,11553.32951116123406000,6234368.855952119915567
"AFG",2020,36.58230789240671565,11386.84847445102655
"AGO",2020,248028.43177844411310201,85475100.442768185220870
"AIA",2020,0.14632985609049481,47.48156422402951
"ALA",2020,673.48877307027747538,206110.439279804665690
"ALB",2020,1117.787388562391916194,438029.0088290659808962
"AND",2020,27.494491986679685525,14346.9692969193427365
"ARG",2020,197379.024915417672496152,55279932.7691817956495806
